sentence,book,word_count,afinn,bing,nrc,sentimentR,nrc.anger,nrc.anticipation,nrc.disgust,nrc.fear,nrc.joy,nrc.sadness,nrc.surprise,nrc.trust,nrc.negative,nrc.positive,anger.perc,sadness.perc,joy.perc,anticipation.perc,disgust.perc,trust.perc,surprise.perc,fear.perc
"the teeming brain of childhood requires no external world of incident to occupy or amuse it; and the apparently dismal monotony of a school was replete with more intense excitement than my riper youth has derived from luxury, or my full manhood from crime.",edgarallanpoe2,44,1,-1,7,0.16,3,2,3,3,6,1,4,2,3,10,6.82,2.27,13.64,4.55,6.82,4.55,9.09,6.82
"their mark was speckled with the vivid alternate splendor of ebony and silver, and was smoother than all save the cheeks of eleonora; so that, but for the brilliant green of the huge leaves that spread from their summits in long, tremulous lines, dallying with the zephyrs, one might have fancied them giant serpents of syria doing homage to their sovereign the sun. hand in hand about this valley, for fifteen years, roamed i with eleonora before love entered within our hearts.",edgarallanpoe2,82,8,6,8,0.71,0,4,0,2,7,0,2,5,0,8,0,0,8.54,4.88,0,6.1,2.44,2.44
"there can be no more absolute waste of time than the attempt to prove , at the present day, that man, by mere exercise of will, can so impress his fellow, as to cast him into an abnormal condition, of which the phenomena resemble very closely those of death , or at least resemble them more nearly than they do the phenomena of any other normal condition within our cognizance; that, while in this state, the person so impressed employs only with effort, and then feebly, the external organs of sense, yet perceives, with keenly refined perception, and through channels supposed unknown, matters beyond the scope of the physical organs; that, moreover, his intellectual faculties are wonderfully exalted and invigorated; that his sympathies with the person so impressing him are profound; and, finally, that his susceptibility to the impression increases with its frequency, while, in the same proportion, the peculiar phenomena elicited are more extended and more pronounced .",edgarallanpoe2,156,3,2,8,0.37,1,6,4,2,4,1,4,4,4,12,0.64,0.64,2.56,3.85,2.56,2.56,2.56,1.28
"there may be a class of beings, human once, but now invisible to humanity, to whom, from afar, our disorder may seem order--our unpicturesqueness picturesque, in a word, the earth-angels, for whose scrutiny more especially than our own, and for whose death-refined appreciation of the beautiful, may have been set in array by god the wide landscape-gardens of the hemispheres.” in the course of discussion, my friend quoted some passages from a writer on landscape-gardening who has been supposed to have well treated his theme: “there are properly but two styles of landscape-gardening, the natural and the artificial.",edgarallanpoe2,104,5,2,7,0.11,1,2,1,3,6,1,1,5,3,10,0.96,0.96,5.77,1.92,0.96,4.81,0.96,2.88
"to this the porter replied, as well as he could for trepidation, that he had once before heard of this sea-beast; that it was a cruel demon, with bowels of sulphur and blood of fire, created by evil genii as the means of inflicting misery upon mankind; that the things upon its back were vermin, such as sometimes infest cats and dogs, only a little larger and more savage; and that these vermin had their uses, however evil--for, through the torture they caused the beast by their nibbling and stingings, it was goaded into that degree of wrath which was requisite to make it roar and commit ill, and so fulfil the vengeful and malicious designs of the wicked genii.",edgarallanpoe2,122,-17,-10,-12,-1.25,12,2,10,15,0,7,2,1,14,2,9.84,5.74,0,1.64,8.2,0.82,1.64,12.3
"yet its memory was replete with horror--horror more horrible from being vague, and terror more terrible from ambiguity.",edgarallanpoe2,19,-11,-5,-4,-2.42,3,0,3,4,0,2,1,0,5,1,15.79,10.53,0,0,15.79,0,5.26,21.05
"a shotgun blast went off in his leg every time he put it down and he thought, you are a fool, a damn fool, an awful fool, an idiot, an awful idiot, a damn idiot, and a fool, a damn fool; look at the mess and where is the mop, look at the mess, and what do you do?",fahrenheit451,59,-14,-5,-6,-1.67,3,2,5,2,0,1,1,0,6,0,5.08,1.69,0,3.39,8.47,0,1.69,3.39
beatty grinned his most charming grin.,fahrenheit451,6,3,2,2,1.4,0,1,0,0,1,0,1,1,0,2,0,0,16.67,16.67,0,16.67,16.67,0
"but good night and good luck, anyway.",fahrenheit451,7,6,2,2,1.91,0,2,0,0,2,0,2,1,0,2,0,0,28.57,28.57,0,14.29,28.57,0
"for it would be the dying of an unknown, a street face, a newspaper image, and it was suddenly so very wrong that he had begun to cry, not at death but at the thought of not crying at death, a silly empty man near a silly empty woman, while the hungry snake made her still more empty.",fahrenheit451,58,-9,-6,-9,-1.25,2,5,3,4,1,4,2,0,9,0,3.45,6.9,1.72,8.62,5.17,0,3.45,6.9
but some acid victims – especially nervous mongoloids – have a strange kind of idiot-sapient capacity for remembering odd details and nothing else.,fearandloathing,22,-9,-4,-2,-1.44,0,1,1,1,1,0,0,1,3,1,0,0,4.55,4.55,4.55,4.55,0,4.55
nothing too good for high rollers...,fearandloathing,6,3,1,1,-1.47,0,1,0,0,1,0,1,1,0,1,0,0,16.67,16.67,0,16.67,16.67,0
"psychedelics are almost irrelevant in a town where you can wan der into a casino any time of the day or night and witness the crucifixion of a gorilla-on a flaming neon cross that suddenly turns into a pinwheel, spinning the beast around in wild circles above the crowded gambling action.",fearandloathing,52,0,-3,-7,-0.28,3,2,1,4,0,3,3,1,8,1,5.77,5.77,0,3.85,1.92,1.92,5.77,7.69
"right above the gambling tables the forty flying carazito brothers are doing a high-wire trapeze act, along with four muzzled wolverines and the six nymphet sisters from san diego… so you’re down on the main floor playing blackjack, and the stakes are getting high when suddenly you chance to look up, and there, right smack above your head is a half-naked fourteen-year-old girl being chased through the air by a snarling wolverine, which is suddenly locked in a death battle with two silver-painted polacks who come swinging down from opposite balconies and meet in midair on the wolverine’s neck… both polacks seize the animal as they fall straight down towards the crap tables – but they bounce off the net; they separate and spring back up towards the roof in three different directions, and just as they’re about to fall again they are grabbed out of the air by three korean kittens and trapezed off to one of the balconies.",fearandloathing,167,-3,-3,-7,0.12,4,2,2,3,0,2,4,0,9,2,2.4,1.2,0,1.2,1.2,0,2.4,1.8
too much aggressive chemistry in that mix; the temptation to run a deliberate freakout would be too heavy.,fearandloathing,18,-2,-2,-1,-1.41,1,0,0,1,0,0,0,0,2,1,5.56,0,0,0,0,0,0,5.56
"we’d forgotten to hang out the “do not disturb” sign… so she wandered into the room and startled my attorney, who kneeling, stark naked, in the closet, vomiting into his shoes… thinking he was actually in the bathroom, and then suddenly looking up to see a woman with a face like mickey rooney staring down at him, unable to speak, trembling with fear and confusion.",fearandloathing,66,-7,-6,-7,-0.32,3,0,0,5,0,2,1,2,8,1,4.55,3.03,0,0,0,3.03,1.52,7.58
"'very well, very well, master elrond!'",fellowshipofthering,6,0,2,1,1.32,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"and minas ithil they built, tower of the rising moon, eastward upon a shoulder of the mountains of shadow; and westward at the feet of the white mountains minas anor they made, tower of the setting sun. there in the courts of the king grew a white tree, from the seed of that tree which isildur brought over the deep waters, and the seed of that tree before came from eressëa, and before that out of the uttermost west in the day before days when the world was young.",fellowshipofthering,90,0,0,8,0.2,1,5,1,0,5,0,3,4,0,8,1.11,0,5.56,5.56,1.11,4.44,3.33,0
but he spoke quite politely.,fellowshipofthering,5,0,0,-1,1.36,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
but i wish i had been there to see.,fellowshipofthering,9,1,0,0,-1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
but surely they will understand.,fellowshipofthering,5,0,0,0,1.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
but the snakes were too much for him.,fellowshipofthering,8,0,0,0,-1.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"the gold looked very fair and pure, and frodo thought how rich and beautiful was its colour, how perfect was its roundness.",fellowshipofthering,22,10,6,4,1.29,0,2,0,0,2,0,0,1,0,4,0,0,9.09,9.09,0,4.55,0,0
"the prime motive was the desire of a tale-teller to try his hand at a really long story that would hold the attention of readers, amuse them, delight them, and at times maybe excite them or deeply move them.",fellowshipofthering,40,10,3,7,0.65,1,3,0,1,3,0,1,0,0,7,2.5,0,7.5,7.5,0,0,2.5,2.5
"hartman & recruits happy birthday to you, happy birthday to you, happy birthday, dear jesus, happy birthday to you!",fullmetaljacket,18,6,1,3,1.58,0,2,0,0,2,0,1,2,0,3,0,0,11.11,11.11,0,11.11,5.56,0
"quickly, quickly, quickly!",fullmetaljacket,3,0,0,0,1.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"""well, go ahead, please!""",hamonrye,4,1,1,1,1.3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
but right now please begin to dismantle your engines.,hamonrye,9,1,1,0,1.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
but things got worse and worse.,hamonrye,6,-3,-1,-1,-1.38,0,0,0,1,0,1,0,0,1,0,0,16.67,0,0,0,0,0,16.67
"i hated their beauty, their untroubled youth, and as i watched them dance through the magic colored pools of light, holding each other, feeling so good, little unscathed children, temporarily in luck, i hated them because they had something i had not yet had, and i said to myself, i said to myself again, someday i will be as happy as any of you, you will see.",hamonrye,67,7,4,7,0.54,2,5,1,2,7,1,4,4,1,8,2.99,1.49,10.45,7.46,1.49,5.97,5.97,2.99
"partly it has great practical value - you can wrap it around you for warmth as you bound across the cold moons of jaglan beta; you can lie on it on the brilliant marble-sanded beaches of santraginus v, inhaling the heady sea vapours; you can sleep under it beneath the stars which shine so redly on the desert world of kakrafoon; use it to sail a mini raft down the slow heavy river moth; wet it for use in hand-to- hand-combat; wrap it round your head to ward off noxious fumes or to avoid the gaze of the ravenous bugblatter beast of traal (a mindboggingly stupid animal, it assumes that if you can not see it, it can not see you - daft as a bush, but very ravenous); you can wave your towel in emergencies as a distress signal, and of course dry yourself off with it if it still seems to be clean enough.",hitchhikersguide,157,5,-2,-9,-0.55,6,1,5,7,2,4,1,2,13,4,3.82,2.55,1.27,0.64,3.18,1.27,0.64,4.46
"unfortunately, in the vl'hurg tongue this was the most dreadful insult imaginable, and there was nothing for it but to wage terrible war for centuries.",hitchhikersguide,25,-10,-4,-4,-1.39,3,1,3,3,0,3,1,0,4,0,12,12,0,4,12,0,4,12
very very fast.,hitchhikersguide,6,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ay, it must be that; the ghost of some old sin, the cancer of some concealed disgrace: punishment coming, pede claudo , years after memory has forgotten and self-love condoned the fault.” and the lawyer, scared by the thought, brooded awhile on his own past, groping in all the corners of memory, least by chance some jack-in-the-box of an old iniquity should leap to light there.",jekyllhyde,69,-2,-5,-7,-0.67,5,3,6,7,1,5,2,0,9,2,7.25,7.25,1.45,4.35,8.7,0,2.9,10.14
"dr. jekyll was quite at ease a fortnight later, by excellent good fortune, the doctor gave one of his pleasant dinners to some five or six old cronies, all intelligent, reputable men and all judges of good wine; and mr. utterson so contrived that he remained behind after the others had departed.",jekyllhyde,52,13,6,7,0.88,0,3,0,0,4,1,3,7,1,8,0,1.92,7.69,5.77,0,13.46,5.77,0
"henry jekyll’s full statement of the case i was born in the year 18— to a large fortune, endowed besides with excellent parts, inclined by nature to industry, fond of the respect of the wise and good among my fellowmen, and thus, as might have been supposed, with every guarantee of an honourable and distinguished future.",jekyllhyde,56,9,8,8,0.82,0,3,0,1,4,1,2,6,1,9,0,1.79,7.14,5.36,0,10.71,3.57,1.79
"his terror of the gallows drove him continually to commit temporary suicide, and return to his subordinate station of a part instead of a person; but he loathed the necessity, he loathed the despondency into which jekyll was now fallen, and he resented the dislike with which he was himself regarded.",jekyllhyde,51,-11,-6,-5,-1.44,3,0,1,4,0,3,0,0,5,0,5.88,5.88,0,0,1.96,0,0,7.84
"mr. hyde was pale and dwarfish, he gave an impression of deformity without any nameable malformation, he had a displeasing smile, he had borne himself to the lawyer with a sort of murderous mixture of timidity and boldness, and he spoke with a husky, whispering and somewhat broken voice; all these were points against him, but not all of these together could explain the hitherto unknown disgust, loathing and fear with which mr. utterson regarded him.",jekyllhyde,76,-10,-8,-8,-0.17,5,2,5,8,1,4,2,2,12,4,6.58,5.26,1.32,2.63,6.58,2.63,2.63,10.53
"there lay the cabinet before their eyes in the quiet lamplight, a good fire glowing and chattering on the hearth, the kettle singing its thin strain, a drawer or two open, papers neatly set forth on the business table, and nearer the fire, the things laid out for tea; the quietest room, you would have said, and, but for the glazed presses full of chemicals, the most commonplace that night in london.",jekyllhyde,72,1,2,8,0.08,0,2,0,1,1,1,1,3,0,8,0,1.39,1.39,2.78,0,4.17,1.39,1.39
"to tell you the truth, i am uneasy about poor jekyll; and even outside, i feel as if the presence of a friend might do him good.” the court was very cool and a little damp, and full of premature twilight, although the sky, high up overhead, was still bright with sunset.",jekyllhyde,52,1,1,7,0.46,1,3,1,2,2,0,2,3,1,8,1.92,0,3.85,5.77,1.92,5.77,3.85,3.85
"his voice, made metallic by the amplifiers, boomed forth an endless catalogue of atrocities, massacres, deportations, lootings, rapings, torture of prisoners, bombing of civilians, lying propaganda, unjust aggressions, broken treaties.",orwell1984,30,-13,-7,-5,-1.47,5,1,2,3,1,3,0,1,6,1,16.67,10,3.33,3.33,6.67,3.33,0,10
"in the early twentieth century, the vision of a future society unbelievably rich, leisured, orderly, and efficient--a glittering antiseptic world of glass and steel and snow-white concrete--was part of the consciousness of nearly every literate person.",orwell1984,39,3,2,7,0.57,0,3,0,0,1,0,0,3,0,7,0,0,2.56,7.69,0,7.69,0,0
"never again will you be capable of love, or friendship, or joy of living, or laughter, or curiosity, or courage, or integrity.",orwell1984,22,11,4,7,0.86,0,2,0,0,4,0,2,2,0,7,0,0,18.18,9.09,0,9.09,9.09,0
"on the battlefield, in the torture chamber, on a sinking ship, the issues that you are fighting for are always forgotten, because the body swells up until it fills the universe, and even when you are not paralysed by fright or screaming with pain, life is a moment-to-moment struggle against hunger or cold or sleeplessness, against a sour stomach or an aching tooth.",orwell1984,65,-19,-9,-11,-0.78,4,2,4,7,0,5,1,0,11,0,6.15,7.69,0,3.08,6.15,0,1.54,10.77
"""yes, master,"" she laughed.",postoffice,4,2,1,1,1.3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"(imitates a duck) quack, quack, quack, quack, quack, quack, quack...",pulpfiction,10,0,-1,-1,-2.21,0,0,1,0,0,0,0,0,1,0,0,0,0,0,10,0,0,0
"‘lordly’ folk called them, meaning nothing but good; for it warmed all hearts to see them go riding by with their mail-shirts so bright and their shields so splendid, laughing and singing songs of far away; and if they were now large and magnificent, they were unchanged otherwise, unless they were indeed more fairspoken and more jovial and full of merriment than ever before.",returnoftheking,65,10,6,7,1.02,0,3,0,0,6,0,4,2,0,7,0,0,9.23,4.62,0,3.08,6.15,0
"behind the seat upon the right floated, white on green, a great horse running free; upon the left was a banner, silver upon blue, a ship swan-prowed faring on the sea; but behind the highest throne in the midst of all a great standard was spread in the breeze, and there a white tree flowered upon a sable field beneath a shining crown and seven glittering stars.",returnoftheking,68,4,4,7,0.79,1,5,1,1,5,1,2,5,1,8,1.47,1.47,7.35,7.35,1.47,7.35,2.94,1.47
but evil and sorrow will come of this.,returnoftheking,8,-5,-2,-2,-1.39,1,0,1,2,0,2,0,0,2,0,12.5,25,0,0,12.5,0,0,25
"first rode elrohir and elladan with a banner of silver, and then came glorfindel and erestor and all the household of rivendell, and after them came the lady galadriel and celeborn, lord of lothlórien, riding upon white steeds and with them many fair folk of their land, grey-cloaked with white gems in their hair; and last came master elrond, mighty among elves and men, bearing the sceptre of annúminas, and beside him upon a grey palfrey rode arwen his daughter, evenstar of her people.",returnoftheking,87,1,4,7,0.55,1,1,1,1,3,0,0,3,1,8,1.15,0,3.45,1.15,1.15,3.45,0,1.15
"sam’s plain hobbit-face grew stern, almost grim, as the will hardened in him, and he felt through all his limbs a thrill, as if he was turning into some creature of stone and steel that neither despair nor weariness nor endless barren miles could subdue.",returnoftheking,47,-3,-5,-8,-0.06,5,2,4,6,2,5,1,1,10,2,10.64,10.64,4.26,4.26,8.51,2.13,2.13,12.77
"he had started to suspect that his venerable father and his other teachers, that the wise brahmans had already revealed to him the most and best of their wisdom, that they had already filled his expecting vessel with their richness, and the vessel was not full, the spirit was not content, the soul was not calm, the heart was not satisfied.",siddharta,61,7,5,8,0.08,0,2,0,1,3,0,0,4,1,9,0,0,4.92,3.28,0,6.56,0,1.64
vasudeva's smile flourished more warmly.,siddharta,5,2,2,1,1.41,0,0,0,0,1,0,1,1,0,1,0,0,20,0,0,20,20,0
"eaker's foreword ended this way: i deeply regret that british and u.s. bombers killed 135,000 people in the attack on dresden, but i remember who started the last war and i regret even more the loss of more than 5,000,000, allied lives in the necessary effort to completely defeat and utterly destroy nazism.",slaughterhouse5,52,-14,-5,-2,-1.68,2,0,0,3,0,2,0,1,5,3,3.85,3.85,0,0,0,1.92,0,5.77
"he sent o'hare a postcard at christmastime, and here is what it said: 'i wish you and your family also as to your friend merry christmas and a happy new year and i hope that we’ll meet again in a world of peace and freedom in the taxi cab if the accident will.’ i like that very much: 'if the accident will.’ i would hate to tell you what this lousy little book cost me in money and anxiety and time.",slaughterhouse5,82,8,2,5,1.37,3,6,1,3,7,3,3,6,3,8,3.66,3.66,8.54,7.32,1.22,7.32,3.66,3.66
but it would be too dangerous.,theoldmanandthesea,6,0,-1,-1,-1.42,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,16.67
but that is not why i wish to feel him.,theoldmanandthesea,10,1,0,0,1.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
but that is the thing i wish for now.,theoldmanandthesea,9,1,0,0,-1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
i wish too many things.,theoldmanandthesea,5,1,0,0,-1.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"filthy, ragged, hopeless.",theroad,3,-2,-3,-2,-1.44,0,0,1,1,0,1,0,0,2,0,0,33.33,0,0,33.33,0,0,33.33
"but around the figure of justice, apart from some coloration that was barely noticeable, it remained light, and in this brightness the figure seemed to shine forward so that it now looked like neither the god of justice nor the god of victory, it seemed now, rather, to be a perfect depiction of the god of the hunt.",thetrial,58,9,4,7,0.9,0,3,0,1,3,0,0,4,0,7,0,0,5.17,5.17,0,6.9,0,1.72
"nothing would have been more nonsensical and, above all, more pointless and contemptible.",thetrial,13,0,-2,-3,-1.67,1,0,1,0,0,2,0,0,3,0,7.69,15.38,0,0,7.69,0,0,0
"'good master, wise master, nice master!'",thetwotowers,6,3,3,2,1.63,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"`but that would be an ill omen, if it were so.",thetwotowers,11,-2,0,-2,-1.59,1,1,1,2,0,1,0,0,2,0,9.09,9.09,0,9.09,9.09,0,0,18.18
"`master, dear master!",thetwotowers,3,2,1,2,1.44,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"`yes, yes, master!",thetwotowers,3,1,1,1,1.5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"but all foul, all rotting, all dead.",thetwotowers,7,-3,-2,-2,-1.39,1,0,2,1,0,0,0,0,2,0,14.29,0,0,0,28.57,0,0,14.29
but handsome is as handsome does we say.,thetwotowers,8,0,1,0,1.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
but i fear that worse awaits him.',thetwotowers,7,-6,-2,-2,-1.49,1,0,0,2,0,1,0,0,2,0,14.29,14.29,0,0,0,0,0,28.57
but i wish i could make a song about her.,thetwotowers,10,1,0,0,-1.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
but why should i wish to leave?,thetwotowers,7,0,0,-1,-1.91,0,0,0,0,0,1,1,0,1,0,0,14.29,0,0,0,0,14.29,0
helps nice master.,thetwotowers,3,5,2,1,1.33,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"there is no grief in that; but think-there is someone loose hereabouts as is more dangerous than any other damned rebel that ever walked since the bad old times, since the great siege.",thetwotowers,34,-10,-5,-5,-1.46,2,0,1,3,0,2,0,0,5,0,5.88,5.88,0,0,2.94,0,0,8.82
but haste was all in vain.,treasureisland,6,0,-2,0,-1.47,0,1,0,0,0,0,0,0,0,0,0,0,0,16.67,0,0,0,0
and the more horrible the death the more ridiculous they seem.,tropicofcancer,11,-8,-3,-3,-1.4,3,1,3,2,0,1,1,0,3,0,27.27,9.09,0,9.09,27.27,0,9.09,18.18
"i am crying for more and more disasters, for bigger calamities, for grander failures.",tropicofcancer,14,-6,-2,-1,-1.44,0,0,0,0,0,1,0,0,1,0,0,7.14,0,0,0,0,0,0
"it was ordained that the women must suffer, that off-stage there should be more terror and violence, more disasters, more suffering, more woe and misery.",tropicofcancer,26,-14,-5,-5,-1.71,2,0,3,5,0,4,0,1,6,1,7.69,15.38,0,0,11.54,3.85,0,19.23
"there will be more calamities, more death, more despair.",tropicofcancer,9,-5,-3,-2,-1.5,2,1,2,2,0,2,1,0,2,0,22.22,22.22,0,11.11,22.22,0,11.11,22.22
"yes, her fingers are very supple, extraordinarily supple.",tropicofcancer,8,1,2,0,1.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
but he had been too much for me.,waspfactory,8,0,0,0,-1.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"i sat cross-legged just by the blaze, staring into it from up-wind until it was out and only the metal of the black destroyer remained, then i took the sooty skeleton and buried it where it had been ruined, at the bottom of the hill.",waspfactory,47,-2,-2,-8,-0.27,4,0,1,4,0,5,0,0,8,0,8.51,10.64,0,0,2.13,0,0,8.51
