sentence,book,sentimentR
"officers' clubs everywhere pulsated with blurred but knowing accounts of lavish, hushed-up drinking and sex orgies there and of secret, intimate nights of ecstasy with the most beautiful, the most tantalizing, the most readily aroused and most easily satisfied italian courtesans, film actresses, models and countesses.",catch22,2.0354730238573695
"but good night and good luck, anyway.",fahrenheit451,1.9134451446092127
"pyotr petrovitch met her ""politely and affably,"" but with a certain shade of bantering familiarity which in his opinion was suitable for a man of his respectability and weight in dealing with a creature so young and so interesting as she.",crimeandpunishment,1.805368687432286
"quickly, quickly, quickly!",fullmetaljacket,1.7320508075688774
"her face was always more serious and thoughtful than gay; but how well smiles, how well youthful, lighthearted, irresponsible, laughter suited her face!",crimeandpunishment,1.6524767314023179
"'good master, wise master, nice master!'",thetwotowers,1.6329931618554523
"more than that, they are so much a matter of course that their comfortable performance is fully as much enjoyed as the playing of a safe top running flush.",allquietonthewesternfront,1.6285481158127448
but you will accept it quickly enough.',catch22,1.6063490102892157
"but i played with care, with great care, the greatest, saying, smiling: ""good.",clockworkorange,1.5947630641475339
but handsome is as handsome does we say.,thetwotowers,1.590990257669732
"i love, indeed, to regard the dark valleys, and the gray rocks, and the waters that silently smile, and the forests that sigh in uneasy slumbers, and the proud watchful mountains that look down upon all,--i love to regard these as themselves but the colossal members of one vast animate and sentient whole--a whole whose form (that of the sphere) is the most perfect and most inclusive of all; whose path is among associate planets; whose meek handmaiden is the moon, whose mediate sovereign is the sun; whose life is eternity, whose thought is that of a god; whose enjoyment is knowledge; whose destinies are lost in immensity, whose cognizance of ourselves is akin with our own cognizance of the animalculae which infest the brain--a being which we, in consequence, regard as purely inanimate and material much in the same manner as these animalculae must thus regard us.",edgarallanpoe2,1.586826460469353
"hartman & recruits happy birthday to you, happy birthday to you, happy birthday, dear jesus, happy birthday to you!",fullmetaljacket,1.5792051446499564
"it seemed written in a very bezoomny like style, full of ah and oh and all that cal, but what seemed to come out of it was that all lewdies nowadays were being turned into machines and that they were really - you and me and him and kiss-my-sharries - more like a natural growth like a fruit.f. alexander seemed to think that we all like grow on what he called the world-tree in the world-orchard that like bog or god planted, and we were there because bog or god had need of us to quench his thirsty love, or some such cal.",clockworkorange,1.545801449941586
"great music, it said, and great poetry would like quieten modern youth down and make modern youth more civilized.",clockworkorange,1.5370854169327637
"i said: ""well well well well well.",clockworkorange,1.5118578920369088
very very fast.,hitchhikersguide,1.501110699893027
very very fast.,hitchhikersguide,1.501110699893027
"`yes, yes, master!",thetwotowers,1.501110699893027
"the older one of the two said: ""well well well well well well well.",clockworkorange,1.4966629547095767
he!--a very good joke indeed--an excellent jest.,edgarallanpoe2,1.4933333333333334
"certainly he was not of the stuff of great researchers, but he was capable of turning to his advantage the enormous respect the scientific community had for djerzinski and his work.",atomised,1.481743741720893
"at the time i saw no reason to dissent from this dictum, but latterly i am inclined to wonder—and more than wonder.",callofcthulhu,1.4596008983995234
"`master, dear master!",thetwotowers,1.4433756729740645
but i smile- -kat is saved.,allquietonthewesternfront,1.4237659129927223
"""he is competent, hardworking, honest and capable of real love....",crimeandpunishment,1.4230249470757705
but that is not why i wish to feel him.,theoldmanandthesea,1.4230249470757705
please understand...,godfather2,1.414213562373095
vasudeva's smile flourished more warmly.,siddharta,1.4087228258248676
beatty grinned his most charming grin.,fahrenheit451,1.3962091533864116
right right right.,clockworkorange,1.385640646055102
right right right.,clockworkorange,1.385640646055102
"right right right?""",clockworkorange,1.385640646055102
yes yes yes.,clockworkorange,1.385640646055102
well well well.,clockworkorange,1.385640646055102
"""yes, yes, yes!",crimeandpunishment,1.385640646055102
"he sent o'hare a postcard at christmastime, and here is what it said: 'i wish you and your family also as to your friend merry christmas and a happy new year and i hope that we’ll meet again in a world of peace and freedom in the taxi cab if the accident will.’ i like that very much: 'if the accident will.’ i would hate to tell you what this lousy little book cost me in money and anxiety and time.",slaughterhouse5,1.3671422928066002
but he spoke quite politely.,fellowshipofthering,1.3640014662748716
but surely they will understand.,fellowshipofthering,1.3640014662748716
"yes, her fingers are very supple, extraordinarily supple.",tropic of cancer,1.3576450198781713
"""he has been conscious a long time, since the morning,"" went on razumihin, whose familiarity seemed so much like unaffected good-nature that pyotr petrovitch began to be more cheerful, partly, perhaps, because this shabby and impudent person had introduced himself as a student.",crimeandpunishment,1.3537859371541587
the very finest quality.,charlieandthechocolatefactory,1.35
very good.” “enjoy it.,darktower,1.35
but right now please begin to dismantle your engines.,hamonrye,1.3499999999999999
"yes, positively beautiful.",catch22,1.3279056191361391
helps nice master.,thetwotowers,1.3279056191361391
"'very well, very well, master elrond!'",fellowshipofthering,1.3227244611029163
"""well, go ahead, please!""",hamonrye,1.3
"""yes, master,"" she laughed.",postoffice,1.3
good good good.,clockworkorange,1.299038105676658
"the gold looked very fair and pure, and frodo thought how rich and beautiful was its colour, how perfect was its roundness.",fellowshipofthering,1.289864333951443
"yet its memory was replete with horror--horror more horrible from being vague, and terror more terrible from ambiguity.",edgarallanpoe2,-2.4157476776570155
fearful indeed the suspicion--but more fearful the doom!,edgarallanpoe2,-2.31275
"(imitates a duck) quack, quack, quack, quack, quack, quack, quack...",pulpfiction,-2.2135943621178655
"then she began to howl quite horribly, but gretel ran away and the godless witch was miserably burnt to death.",brothersgrimm,-1.9470561914079416
but why should i wish to leave?,thetwotowers,-1.9134451446092127
"the slow mutants could smell their terror, he knew that, but he doubted if terror would be enough for them.",darktower,-1.8950676109310716
"'the real trick lies in losing wars, in knowing which wars can be lost.",catch22,-1.8708286933869707
but i am talking too much.,crimeandpunishment,-1.8371173070873836
i wish too many things.,theoldmanandthesea,-1.7888543819998317
"it was ordained that the women must suffer, that off-stage there should be more terror and violence, more disasters, more suffering, more woe and misery.",tropic of cancer,-1.7062103757022014
"'that would have been most unjust,' he scolded firmly.",catch22,-1.68
"eaker's foreword ended this way: i deeply regret that british and u.s. bombers killed 135,000 people in the attack on dresden, but i remember who started the last war and i regret even more the loss of more than 5,000,000, allied lives in the necessary effort to completely defeat and utterly destroy nazism.",slaughterhouse5,-1.675194592600192
"nothing would have been more nonsensical and, above all, more pointless and contemptible.",thetrial,-1.672421091619066
"a shotgun blast went off in his leg every time he put it down and he thought, you are a fool, a damn fool, an awful fool, an idiot, an awful idiot, a damn idiot, and a fool, a damn fool; look at the mess and where is the mop, look at the mess, and what do you do?",fahrenheit451,-1.6664180605545458
"the delirious man with the fever and the crushed toes sank to the floor and wept in pain while other men tripped over him and hurt him more in their blind, milling, agonized stampede.",catch22,-1.6275215730024089
but i was stupid and impatient and spoiled it all.,crimeandpunishment,-1.6127616066858732
"anxiety, cries of horror, moans...",crimeandpunishment,-1.6099689437998486
"`but that would be an ill omen, if it were so.",thetwotowers,-1.5942412344549253
but malaria?,catch22,-1.590990257669732
"""but remorse?",crimeandpunishment,-1.590990257669732
but the snakes were too much for him.,fellowshipofthering,-1.590990257669732
but he had been too much for me.,waspfactory,-1.590990257669732
"but no, it was not, and they sent this guy around just to make sure i really did have one leg amputated at the hip and was helplessly bedridden with incurable rheumatoid arthritis.",catch22,-1.5841066691968502
"for this far violet line could be nothing else than the terrible mountains of the forbidden land—highest of earth’s peaks and focus of earth’s evil; harbourers of nameless horrors and archaean secrets; shunned and prayed to by those who feared to carve their meaning; untrodden by any living thing of earth, but visited by the sinister lightnings and sending strange beams across the plains in the polar night—beyond doubt the unknown archetype of that dreaded kadath in the cold waste beyond abhorrent leng, whereof unholy primal legends hint evasively.",atthemountainsofmadness,-1.5800551448454856
"he locked away the necronomicon with a shudder of disgust, but the room still reeked with an unholy and unidentifiable stench.",dunwichhorror,-1.5548024679314458
but this hideousness is insufferable.,edgarallanpoe2,-1.509345884812358
but i wish i had been there to see.,fellowshipofthering,-1.5
but that is the thing i wish for now.,theoldmanandthesea,-1.5
"there will be more calamities, more death, more despair.",tropic of cancer,-1.5
but i fear that worse awaits him.',thetwotowers,-1.4882351124738322
"his voice, made metallic by the amplifiers, boomed forth an endless catalogue of atrocities, massacres, deportations, lootings, rapings, torture of prisoners, bombing of civilians, lying propaganda, unjust aggressions, broken treaties.",orwell1984,-1.4697221959721958
nothing too good for high rollers...,fearandloathing,-1.4696938456699071
but haste was all in vain.,treasureisland,-1.469693845669907
"there is no grief in that; but think-there is someone loose hereabouts as is more dangerous than any other damned rebel that ever walked since the bad old times, since the great siege.",thetwotowers,-1.457737973711325
"filthy, ragged, hopeless.",theroad,-1.4433756729740645
"i am crying for more and more disasters, for bigger calamities, for grander failures.",tropic of cancer,-1.4432107063270918
but some acid victims – especially nervous mongoloids – have a strange kind of idiot-sapient capacity for remembering odd details and nothing else.,fearandloathing,-1.4380388318185922
"his terror of the gallows drove him continually to commit temporary suicide, and return to his subordinate station of a part instead of a person; but he loathed the necessity, he loathed the despondency into which jekyll was now fallen, and he resented the dislike with which he was himself regarded.",jekyllhyde,-1.43528708612871
"it was now the representation of an object that i shudder to name--and for this, above all, i loathed, and dreaded, and would have rid myself of the monster had i dared --it was now, i say, the image of a hideous--of a ghastly thing--of the gallows!--oh, mournful and terrible engine of horror and of crime--of agony and of death!",edgarallanpoe2,-1.432601184505358
"she too joined in the singing, but broke down at the second note with a fearful cough, which made her curse in despair and even shed tears.",crimeandpunishment,-1.4313475423659472
"(cough, cough, cough, cough!) again!",crimeandpunishment,-1.4310835055998654
"'neath pleasure's lash, the grim high executioner, mortal souls, that vile and worthless throng, reap grim remorse amidst the abject ceremony, pain, take my hand; let us now along ...",atomised,-1.427997150581529
but it would be too dangerous.,theoldmanandthesea,-1.4237659129927225
but i wish i could make a song about her.,thetwotowers,-1.4230249470757705
"hopeless, hopeless!""",crimeandpunishment,-1.414213562373095
"stupid, stupid.",fahrenheit451,-1.414213562373095
too much aggressive chemistry in that mix; the temptation to run a deliberate freakout would be too heavy.,fearandloathing,-1.41185653976914
and the more horrible the death the more ridiculous they seem.,tropic of cancer,-1.402027752286601
"but all foul, all rotting, all dead.",thetwotowers,-1.3937439942215253
"unfortunately, in the vl'hurg tongue this was the most dreadful insult imaginable, and there was nothing for it but to wage terrible war for centuries.",hitchhikersguide,-1.3925
